0,610946877,12476211
0.0,818171793,25000102
0.0.0,775097548,23029763
0.0.1,813386242,20497581
0.0.2,797903876,21759772
0.0.3,610846668,23763883
0.0.4,783147876,20141748
0.0.5,405160082,22065507
0.0.5.115,376380703,9135938
0.0.5.115.1,554309774,12354319
0.0.5.115.1.0,367981041,10678362
0.0.5.115.2,365509831,12941203
0.0.5.115.2.0,378381068,8478266
0.0.5.115.2.1,570943451,11022604
0.0.5.115.2.10,383747923,11285834
0.0.6,588847556,20428466
0.0.7,607464207,23873077
0.0.7.711,374056445,14024791
0.0.7.711.1,373213229,7692373
0.0.7.711.1.1,546555604,8718725
0.0.7.711.1.1.1,360293587,8414807
0.0.7.711.1.1.1.0,366839449,11791847
0.0.7.711.1.1.1.0.0,368337404,9128280
0.0.7.711.1.1.1.1,382611703,10526259
0.0.7.711.1.1.1.1.0,517482021,8556395
0.0.7.719,378305852,12165652
0.0.7.719.1,361792921,8556534
0.0.7.719.1.0,361547420,10839694
0.0.7.726,373626112,12813996
0.0.7.726.1,381089760,10579168
0.0.7.726.1.0,345380891,9389239
0.0.7.774,373732907,14416843
0.0.7.774.0,377007296,15507867
0.0.7.774.0.0,562069609,12650613
0.0.7.774.0.2,589420434,14105479
0.0.7.774.0.2.0,370914670,9485731
0.0.7.774.0.3,1102036019,69426875
0.0.7.774.0.3.3,904072862,60751222
0.0.7.774.0.3.6,851180673,61649739
0.0.7.774.0.3.7,686603795,58603313
0.0.7.774.0.3.8,700880235,59973168
0.0.7.774.0.3.9,1060028778,61674091
0.0.7.774.0.3.10,729056826,59466939
0.0.7.774.0.3.11,885960379,62367948
0.0.7.774.0.3.12,875868428,60366398
0.0.7.774.0.3.13,717986718,58193505
0.0.7.774.0.3.14,1063158466,61012426
0.0.7.774.0.3.15,868941819,81003182
0.0.7.774.0.3.16,917248177,58060736
0.0.7.774.0.3.17,717103251,58645628
0.0.7.774.0.3.18,694772314,60069712
0.0.7.774.0.3.19,666096326,58277791
0.0.7.774.0.3.20,861647579,57461564
0.0.7.774.0.3.21,1091134366,57900867
0.0.7.774.0.3.22,718094904,58612101
0.0.7.774.0.3.23,858612888,59232231
0.0.7.774.0.3.24,902823756,60594031
0.0.7.774.0.3.25,908790942,59471598
0.0.7.774.0.3.26,1064903493,59812523
0.0.7.774.0.3.27,876424950,78042313
0.0.7.774.0.3.28,704994817,58308340
0.0.7.774.0.3.29,884352414,59067773
0.0.7.774.0.3.30,850079093,59002540
0.0.7.774.0.3.31,688836630,58916588
0.0.7.774.0.3.32,738659781,58094562
0.0.7.774.0.3.33,723873206,57549050
0.0.7.774.0.3.34,681868299,57183397
0.0.7.774.0.3.35,935858572,57888543
0.0.7.774.0.3.36,1100872314,59485840
0.0.7.774.0.3.37,729636750,58649674
0.0.7.774.0.3.38,696363635,59624390
0.0.7.774.0.3.39,872028686,78162295
0.0.7.774.0.3.40,683559487,55548855
0.0.7.774.0.3.41,880838060,59427011
0.0.7.774.0.3.42,872591692,58721662
0.0.7.774.0.3.43,701979753,56422572
0.0.7.774.0.3.44,914893406,58685832
0.0.7.774.0.3.45,916782652,55610503
0.0.7.774.0.3.46,705968274,60178722
0.0.7.774.0.3.49,712361383,59612219
0.0.7.774.0.3.52,891246730,59776489
0.0.7.774.0.3.55,847019839,59284993
0.0.7.774.0.3.58,704387596,59359181
0.0.7.774.0.3.59,702398331,74347856
0.0.7.774.0.3.60,847281070,59485335
0.0.7.774.0.3.61,689614903,62127218
0.0.7.774.0.3.62,712752056,57164593
0.0.7.774.0.3.63,899685665,57354549
0.0.7.774.0.3.64,915063012,59650425
0.0.7.774.0.3.67,1097171830,59903651
0.0.7.774.0.3.70,894590305,58693176
0.0.7.774.0.3.73,983563413,59037970
0.0.7.774.0.3.80,884175269,61217038
0.0.7.774.0.3.81,998865903,58677341
0.0.7.774.0.3.82,881804780,79486467
0.0.7.774.0.3.83,679225821,57602187
0.0.7.774.0.3.84,675033193,59152299
0.0.7.774.0.3.85,683247367,59224578
0.0.7.774.0.3.86,851120803,60530379
0.0.7.774.0.3.87,690770569,57645765