0,536640393,118007937
0.0,857223008,221873630
0.0.0,914734858,183425936
0.0.1,890751438,166748238
0.0.2,908874011,171599107
0.0.3,870874902,150402426
0.0.4,620051448,162128829
0.0.5,828646064,212785100
0.0.5.115,403196162,57299017
0.0.5.115.1,637325906,61640920
0.0.5.115.1.0,677192434,40477138
0.0.5.115.2,624565093,94766183
0.0.5.115.2.0,616886317,81753887
0.0.5.115.2.1,439350626,41734021
0.0.5.115.2.10,713042382,45580832
0.0.6,889750048,208174822
0.0.7,854355484,206191441
0.0.7.711,509218718,107470599
0.0.7.711.1,612592852,28541024
0.0.7.711.1.1,474677557,44869629
0.0.7.711.1.1.1,496957930,41966855
0.0.7.711.1.1.1.0,491517651,86587943
0.0.7.711.1.1.1.0.0,459932117,40789304
0.0.7.711.1.1.1.1,482380243,95221103
0.0.7.711.1.1.1.1.0,446365470,52472052
0.0.7.719,428526753,91736095
0.0.7.719.1,668738182,68811508
0.0.7.719.1.0,460025626,60423942
0.0.7.726,439600037,99978674
0.0.7.726.1,661841516,56739978
0.0.7.726.1.0,424198228,36345822
0.0.7.774,486428526,93238495
0.0.7.774.0,514068036,163042392
0.0.7.774.0.0,478769156,281196915
0.0.7.774.0.2,472211323,68401694
0.0.7.774.0.2.0,419161650,24132814
0.0.7.774.0.3,969711610,671816440
0.0.7.774.0.3.3,928756411,633370189
0.0.7.774.0.3.6,905760444,694818593
0.0.7.774.0.3.7,812168880,667369910
0.0.7.774.0.3.8,964187940,694567403
0.0.7.774.0.3.9,992787358,667981049
0.0.7.774.0.3.10,798931805,677802270
0.0.7.774.0.3.11,992232652,629350325
0.0.7.774.0.3.12,899939130,662823135
0.0.7.774.0.3.13,766747549,674926514
0.0.7.774.0.3.14,977998651,662116364
0.0.7.774.0.3.15,980983526,1215677204
0.0.7.774.0.3.16,738575330,603602902
0.0.7.774.0.3.17,757122103,644249571
0.0.7.774.0.3.18,957318390,623731672
0.0.7.774.0.3.19,738213189,624356830
0.0.7.774.0.3.20,972798199,628081834
0.0.7.774.0.3.21,1146495059,651993739
0.0.7.774.0.3.22,1003154170,637136865
0.0.7.774.0.3.23,970475942,629413180
0.0.7.774.0.3.24,956576785,661260364
0.0.7.774.0.3.25,1001946324,638427776
0.0.7.774.0.3.26,994448853,644295787
0.0.7.774.0.3.27,1030101990,1229103418
0.0.7.774.0.3.28,793160060,644546488
0.0.7.774.0.3.29,1004768635,616680226
0.0.7.774.0.3.30,901445252,640364900
0.0.7.774.0.3.31,792930071,644415780
0.0.7.774.0.3.32,755609318,643938778
0.0.7.774.0.3.33,980150059,640344892
0.0.7.774.0.3.34,795251035,623809412
0.0.7.774.0.3.35,963978463,653584483
0.0.7.774.0.3.36,1015083755,645470067
0.0.7.774.0.3.37,775316426,646592998
0.0.7.774.0.3.38,1036727230,1342360673
0.0.7.774.0.3.39,967318267,632053551
0.0.7.774.0.3.40,975495291,643092977
0.0.7.774.0.3.41,961801634,657549284
0.0.7.774.0.3.42,983039038,636228076
0.0.7.774.0.3.43,781883854,635909145
0.0.7.774.0.3.44,933532873,607909830
0.0.7.774.0.3.45,934113455,607912983
0.0.7.774.0.3.46,733710950,609593738
0.0.7.774.0.3.49,976401098,625526458
0.0.7.774.0.3.52,1072763299,607365063
0.0.7.774.0.3.55,1184550959,636659577
0.0.7.774.0.3.58,953726867,1284877979
0.0.7.774.0.3.59,782870822,636358973
0.0.7.774.0.3.60,1209778973,648820904
0.0.7.774.0.3.61,902022324,657649671
0.0.7.774.0.3.62,839435802,639761409
0.0.7.774.0.3.63,1005346016,632630711
0.0.7.774.0.3.64,968343319,633013716
0.0.7.774.0.3.67,985979184,633170631
0.0.7.774.0.3.70,966183639,613260895
0.0.7.774.0.3.73,999684288,662351243
0.0.7.774.0.3.80,1012064150,645287674
0.0.7.774.0.3.81,1120190100,678861596
0.0.7.774.0.3.82,947843820,1274195243
0.0.7.774.0.3.83,737307341,584287258
0.0.7.774.0.3.84,945406693,652651162
0.0.7.774.0.3.85,756656789,624089722
0.0.7.774.0.3.86,932934519,667558286
0.0.7.774.0.3.87,986049933,616074771