0,399791042,7444459
0.0,529929375,9488416
0.0.0,504113292,9464000
0.0.1,484141708,9666208
0.0.2,405332875,9399667
0.0.3,307507250,7891833
0.0.4,524323958,8937333
0.0.5,489361500,9658542
0.0.5.115,365563167,5132709
0.0.5.115.1,377993542,6023750
0.0.5.115.1.0,280070334,4889375
0.0.5.115.2,242493042,5366584
0.0.5.115.2.0,351943250,5958917
0.0.5.115.2.1,406496125,7044958
0.0.5.115.2.10,354321375,6173917
0.0.6,401473000,9196208
0.0.7,554463583,10913166
0.0.7.711,358629666,6011458
0.0.7.711.1,382015041,4611250
0.0.7.711.1.1,292574292,5265625
0.0.7.711.1.1.1,294386125,5551916
0.0.7.711.1.1.1.0,233621708,6017834
0.0.7.711.1.1.1.0.0,367768792,4401541
0.0.7.711.1.1.1.1,255562083,5814417
0.0.7.711.1.1.1.1.0,265387708,2248334
0.0.7.719,264816292,5849375
0.0.7.719.1,242078125,5051625
0.0.7.719.1.0,229023167,5137583
0.0.7.726,249188125,7133625
0.0.7.726.1,241737625,5484083
0.0.7.726.1.0,229030458,4964375
0.0.7.774,248830333,6147584
0.0.7.774.0,301452417,6132833
0.0.7.774.0.0,250154333,5899917
0.0.7.774.0.2,333487667,9722917
0.0.7.774.0.2.0,256617333,5100208
0.0.7.774.0.3,605346333,23829083
0.0.7.774.0.3.3,606979000,22168458
0.0.7.774.0.3.6,607476416,21596084
0.0.7.774.0.3.7,480394458,21847041
0.0.7.774.0.3.8,689272083,23508708
0.0.7.774.0.3.9,623479125,27602667
0.0.7.774.0.3.10,518530792,21170083
0.0.7.774.0.3.11,746021166,21826416
0.0.7.774.0.3.12,622315625,21784375
0.0.7.774.0.3.13,540380833,21563584
0.0.7.774.0.3.14,644590333,21931541
0.0.7.774.0.3.15,753215667,33668125
0.0.7.774.0.3.16,500478500,21100167
0.0.7.774.0.3.17,506706625,21795416
0.0.7.774.0.3.18,506314333,21531875
0.0.7.774.0.3.19,501225500,22350709
0.0.7.774.0.3.20,609985042,21897625
0.0.7.774.0.3.21,670622458,22715084
0.0.7.774.0.3.22,497554625,22674375
0.0.7.774.0.3.23,597451042,20571167
0.0.7.774.0.3.24,666438584,18701416
0.0.7.774.0.3.25,607768250,22569125
0.0.7.774.0.3.26,609464208,22007625
0.0.7.774.0.3.27,590098083,35487834
0.0.7.774.0.3.28,671190459,22623542
0.0.7.774.0.3.29,621284833,22458667
0.0.7.774.0.3.30,588177792,21317667
0.0.7.774.0.3.31,507193042,23838041
0.0.7.774.0.3.32,558881708,23372625
0.0.7.774.0.3.33,622526375,20789125
0.0.7.774.0.3.34,493882667,22129042
0.0.7.774.0.3.35,624555125,20936625
0.0.7.774.0.3.36,610376333,21951458
0.0.7.774.0.3.37,497343042,21541291
0.0.7.774.0.3.38,615448084,15685292
0.0.7.774.0.3.39,641716708,38121500
0.0.7.774.0.3.40,489164125,23016625
0.0.7.774.0.3.41,654700958,22445917
0.0.7.774.0.3.42,497415958,20678875
0.0.7.774.0.3.43,505538958,20522250
0.0.7.774.0.3.44,608287042,20530084
0.0.7.774.0.3.45,581488792,22711708
0.0.7.774.0.3.46,471555542,24082209
0.0.7.774.0.3.49,764901125,20890084
0.0.7.774.0.3.52,593350250,20644166
0.0.7.774.0.3.55,622614250,22789000
0.0.7.774.0.3.58,741269667,36171542
0.0.7.774.0.3.59,523449750,23132125
0.0.7.774.0.3.60,607874333,21372250
0.0.7.774.0.3.61,744146291,20714416
0.0.7.774.0.3.62,483867750,20947334
0.0.7.774.0.3.63,651722333,20720666
0.0.7.774.0.3.64,618998833,23319209
0.0.7.774.0.3.67,533112917,23921875
0.0.7.774.0.3.70,624143500,21055125
0.0.7.774.0.3.73,660379042,17114084
0.0.7.774.0.3.80,656842042,20954917
0.0.7.774.0.3.81,677838583,22153959
0.0.7.774.0.3.82,610857209,39350459
0.0.7.774.0.3.83,495405542,21999875
0.0.7.774.0.3.84,607181667,18929625
0.0.7.774.0.3.85,630196417,20403583
0.0.7.774.0.3.86,627262875,22925625
0.0.7.774.0.3.87,578529167,21504166